"IndicatorName","IndicatorCode","CountryName","countryCode","val"
"Population, total",SP.POP.TOTL,Guyana,GUY,754493
"Population, total",SP.POP.TOTL,Haiti,HTI,9993247
"Population, total",SP.POP.TOTL,Honduras,HND,7600524
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7067800
"Population, total",SP.POP.TOTL,Hungary,HUN,10000023
"Population, total",SP.POP.TOTL,Iceland,ISL,318041
"Population, total",SP.POP.TOTL,India,IND,1224614327
"Population, total",SP.POP.TOTL,Indonesia,IDN,239870937
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,73973630
"Population, total",SP.POP.TOTL,Iraq,IRQ,32030823
"Population, total",SP.POP.TOTL,Ireland,IRL,4474356
"Population, total",SP.POP.TOTL,Isle of Man,IMY,82869
"Population, total",SP.POP.TOTL,Israel,ISR,7623600
"Population, total",SP.POP.TOTL,Italy,ITA,60483385
"Population, total",SP.POP.TOTL,Jamaica,JAM,2702300
"Population, total",SP.POP.TOTL,Japan,JPN,127450459
"Population, total",SP.POP.TOTL,Jordan,JOR,6047000
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16323287
"Population, total",SP.POP.TOTL,Kenya,KEN,40512682
"Population, total",SP.POP.TOTL,Kiribati,KIR,99546
"Population, total",SP.POP.TOTL,"Korea, Dem. Rep.",PRK,24346229
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,49410000
"Population, total",SP.POP.TOTL,Kosovo,KSV,1775680
"Population, total",SP.POP.TOTL,Kuwait,KWT,2736732
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5447900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6200894
"Population, total",SP.POP.TOTL,Latvia,LVA,2239008
"Population, total",SP.POP.TOTL,Lebanon,LBN,4227597
"Population, total",SP.POP.TOTL,Lesotho,LSO,2171318
"Population, total",SP.POP.TOTL,Liberia,LBR,3994122
"Population, total",SP.POP.TOTL,Libya,LBY,6355112
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,36032
"Population, total",SP.POP.TOTL,Lithuania,LTU,3286820
"Population, total",SP.POP.TOTL,Luxembourg,LUX,506953
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,543656
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,2060563
"Population, total",SP.POP.TOTL,Madagascar,MDG,20713819
"Population, total",SP.POP.TOTL,Malawi,MWI,14900841
"Population, total",SP.POP.TOTL,Malaysia,MYS,28401017
"Population, total",SP.POP.TOTL,Maldives,MDV,315885
"Population, total",SP.POP.TOTL,Mali,MLI,15369809
"Population, total",SP.POP.TOTL,Malta,MLT,415995
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,54038
"Population, total",SP.POP.TOTL,Mauritania,MRT,3459773
"Population, total",SP.POP.TOTL,Mauritius,MUS,1280924
"Population, total",SP.POP.TOTL,Mexico,MEX,113423047
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,111064
"Population, total",SP.POP.TOTL,Moldova,MDA,3562062
"Population, total",SP.POP.TOTL,Monaco,MCO,35407
"Population, total",SP.POP.TOTL,Mongolia,MNG,2756001
"Population, total",SP.POP.TOTL,Montenegro,MNE,631490
"Population, total",SP.POP.TOTL,Morocco,MAR,31951412
"Population, total",SP.POP.TOTL,Mozambique,MOZ,23390765
"Population, total",SP.POP.TOTL,Myanmar,MMR,47963012
"Population, total",SP.POP.TOTL,Namibia,NAM,2283289
"Population, total",SP.POP.TOTL,Nepal,NPL,29959364
"Population, total",SP.POP.TOTL,Netherlands,NLD,16615394
"Population, total",SP.POP.TOTL,New Caledonia,NCL,247000
"Population, total",SP.POP.TOTL,New Zealand,NZL,4367800
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5788163
"Population, total",SP.POP.TOTL,Niger,NER,15511953
"Population, total",SP.POP.TOTL,Nigeria,NGA,158423182
"Population, total",SP.POP.TOTL,North America,NAC,343540107
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,60917
"Population, total",SP.POP.TOTL,Norway,NOR,4889252
"Population, total",SP.POP.TOTL,Oman,OMN,2782435
"Population, total",SP.POP.TOTL,Pakistan,PAK,173593383
"Population, total",SP.POP.TOTL,Palau,PLW,20472
"Population, total",SP.POP.TOTL,Panama,PAN,3516820
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,6858266
"Population, total",SP.POP.TOTL,Paraguay,PRY,6454548
"Population, total",SP.POP.TOTL,Peru,PER,29076512
"Population, total",SP.POP.TOTL,Philippines,PHL,93260798
"Population, total",SP.POP.TOTL,Poland,POL,38183683
"Population, total",SP.POP.TOTL,Portugal,PRT,10637346
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3721978
"Population, total",SP.POP.TOTL,Qatar,QAT,1758793
"Population, total",SP.POP.TOTL,Romania,ROU,21438001
"Population, total",SP.POP.TOTL,Russian Federation,RUS,141920000
"Population, total",SP.POP.TOTL,Rwanda,RWA,10624005
"Population, total",SP.POP.TOTL,Samoa,WSM,183081
"Population, total",SP.POP.TOTL,San Marino,SMR,31534
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,165397
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,27448086
"Population, total",SP.POP.TOTL,Senegal,SEN,12433728
"Population, total",SP.POP.TOTL,Serbia,SRB,7291436
"Population, total",SP.POP.TOTL,Seychelles,SYC,86525
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,5867536
"Population, total",SP.POP.TOTL,Singapore,SGP,5076700
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5430099
"Population, total",SP.POP.TOTL,Slovenia,SVN,2048583
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,538148
"Population, total",SP.POP.TOTL,Somalia,SOM,9330872
"Population, total",SP.POP.TOTL,South Africa,ZAF,49991300
"Population, total",SP.POP.TOTL,Spain,ESP,46070971
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20653000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52402
"Population, total",SP.POP.TOTL,St. Lucia,LCA,174000
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109333
"Population, total",SP.POP.TOTL,Sudan,SDN,33603637
"Population, total",SP.POP.TOTL,Suriname,SUR,524636
"Population, total",SP.POP.TOTL,Swaziland,SWZ,1055506
"Population, total",SP.POP.TOTL,Sweden,SWE,9378126
"Population, total",SP.POP.TOTL,Switzerland,CHE,7826153
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,20446609
"Population, total",SP.POP.TOTL,Tajikistan,TJK,6878637
"Population, total",SP.POP.TOTL,Tanzania,TZA,44841226
"Population, total",SP.POP.TOTL,Thailand,THA,69122234
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,1142502
"Population, total",SP.POP.TOTL,Togo,TGO,6027798
"Population, total",SP.POP.TOTL,Tonga,TON,104058
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1341465
"Population, total",SP.POP.TOTL,Tunisia,TUN,10549100
"Population, total",SP.POP.TOTL,Turkey,TUR,72752325
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5041995
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,38354
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9827
"Population, total",SP.POP.TOTL,Uganda,UGA,33424683
"Population, total",SP.POP.TOTL,Ukraine,UKR,45870700
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,7511690
"Population, total",SP.POP.TOTL,United Kingdom,GBR,62231336
"Population, total",SP.POP.TOTL,United States,USA,309349689
"Population, total",SP.POP.TOTL,Uruguay,URY,3356584
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,28562400
"Population, total",SP.POP.TOTL,Vanuatu,VUT,239651
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28834000
"Population, total",SP.POP.TOTL,Vietnam,VNM,86927700
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,109750
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,3905364
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,24052514
"Population, total",SP.POP.TOTL,Zambia,ZMB,12926409
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,12571454
